QR Code,Photo,Name,Affiliate ,Bio,Website,Type,Instagram
01KSG9HP9X4QDSR7REY,https://brokenscience.org/wp-content/uploads/2026/02/speaker-emily-kaplan-3-web-e1772302744477.png,Emily Kaplan,CEO and CoFounder of MetFix,"Emily Kaplan is a journalist and entrepreneur focused on investigating institutional failures in public health, nutrition policy, and scientific integrity. As co-founder of The Broken Science Initiative and MetFix, she works to examine how flawed research, financial conflicts, and regulatory capture have shaped modern dietary guidance and chronic disease outcomes.

Kaplan’s work centers on translating complex metabolic health issues into accessible, investigative storytelling while holding powerful institutions accountable.",https://brokenscience.org,Speaker,https://www.instagram.com/newsnotnoise/
01KSG9P49FTMBWXY106,https://brokenscience.org/wp-content/uploads/2026/03/greg-glassman-speaker-v3-web-e1773266303701.png,Greg Glassman,CoFounder of MetFix,"Greg Glassman is the founder of CrossFit and one of the most influential figures in modern fitness. In 2000, he formalized the CrossFit methodology, combining functional movements performed at high intensity to improve work capacity across broad time and modal domains. CrossFit grew into a global training movement with thousands of affiliated gyms worldwide.

Glassman has been an outspoken critic of flawed public health narratives, particularly around chronic disease, nutrition science, and conflicts of interest in research. He is co-founder of The Broken Science Initiative and MetFix, organizations dedicated to exposing scientific misconduct and reframing metabolic disease as a preventable and reversible condition rooted in nutrition and lifestyle.",https://brokenscience.org,Speaker,
01KSG97CEJ0TDYMQPNM,https://brokenscience.org/wp-content/uploads/2026/02/speaker-dave-feldman-3-web-e1772303343727.png,Dave Feldman,"Software Engineer and Founder, Cholesterol Code
","Dave Feldman is a software engineer and independent researcher best known for founding the Cholesterol Code, a citizen-science initiative examining lipid metabolism in low-carbohydrate populations.

Feldman’s data-driven experiments explore cholesterol variability, energy metabolism, and the “lean mass hyper-responder” phenotype, contributing to ongoing discussions around cardiovascular risk assessment in metabolically healthy individuals.",,Speaker,
01KSGAS4MVZBP46JM5X,https://brokenscience.org/wp-content/uploads/2026/02/speaker-mark-sisson-3-web-e1772303405348.png,Mark Sisson,"Author and Health Researcher
","Mark Sisson is a best-selling author and health educator known for pioneering the Primal health movement. He is the author of The Primal Blueprint and several other books exploring ancestral health, metabolic flexibility, and lifestyle-based approaches to preventing chronic disease.

Sisson is also the founder of Primal Kitchen and a long-time advocate for low-carbohydrate, whole-food nutrition strategies grounded in evolutionary biology and metabolic science.",,Speaker,
01KSG9B7SK90424AJ9V,https://brokenscience.org/wp-content/uploads/2026/02/speaker-jaime-seeman-3-web-e1772303275386.png,Dr. Jaime Seeman,"Board-Certified Obstetrician and Gynecologist
","Dr. Jaime Seeman is a board-certified OB-GYN, author, and public health advocate specializing in women’s metabolic health. Her work focuses on insulin resistance, strength training, and lifestyle interventions to prevent obesity, diabetes, and cardiovascular disease.

Dr. Seeman integrates clinical medicine with performance training and emphasizes strength as a cornerstone of long-term metabolic resilience.",,Speaker,
01KSGA9H6ETF574X35G,https://brokenscience.org/wp-content/uploads/2026/02/speaker-thomas-seyfried-3-web-e1772302568581.png,"Thomas Seyfried, PHD","Professor of Biology, Boston College","Prof. Thomas Seyfried is a professor of biology at Boston College and a leading researcher in cancer metabolism. His work advances the metabolic theory of cancer, proposing that cancer is primarily a mitochondrial metabolic disease rather than strictly a genetic one.

Dr. Seyfried is the author of Cancer as a Metabolic Disease and has published extensively on the role of glucose and glutamine metabolism in tumor growth, contributing to growing interest in metabolic therapies in oncology research.",,Speaker,
01KSG99GEQXJVSJCTAW,https://brokenscience.org/wp-content/uploads/2026/02/speaker-drew-pinsky-3-web-e1772303208441.png,"Drew Pinsky, M.D.","Physician and Broadcaster
","Dr. Drew Pinsky, widely known as Dr. Drew, is a board-certified physician specializing in internal and addiction medicine and a longtime media broadcaster. He gained national recognition as co-host of Loveline and through numerous television programs focused on addiction, mental health, and public health education.

For decades, Dr. Pinsky has worked at the intersection of clinical medicine and mass communication, translating complex health topics for broad audiences.",,Speaker,
01KSGA43KDKNK6TQRHG,https://brokenscience.org/wp-content/uploads/2026/02/speaker-kenny-santucci-3-web-e1772302945363.png,Kenny Santucci,"Fitness Entrepreneur, Coach, and Community Leader","Kenny Santucci is a New York City based trainer, coach, host, and fitness entrepreneur with more than a decade in the health and wellness space. Known for high energy leadership and a community-first approach, he is recognized as one of NYC’s top trainers and a trusted voice in performance and lifestyle fitness.

He serves as a brand ambassador for Michelob Ultra and Fitaid, is a Technogym Master Trainer, and has hosted major wellness events including the Fitaid Morning Show and the Michelob Ultra Movement Fitness Festival. He also created STRONG New York, an event series that supports causes like Alzheimer’s awareness, Movember, and breast cancer research. His mission is personal, after overcoming weight struggles as a teen, he found wrestling and strength training at 15 and has been helping others build physical and mental strength ever since.

His philosophy is simple:
“Lift heavy. Lift yourself. Lift up others.”",,Speaker,
01KSG9FFK42B54HGBYM,https://brokenscience.org/wp-content/uploads/2026/02/speaker-eddie-hertzman-3-web-e1772302880451.png,Eddie Hertzman,"Founder, Athletech News
","Edward Hertzman is the founder of Athletech News, a leading digital publication covering the business of fitness and wellness. Previously, he founded Sourcing Journal, which he later sold to Penske Media Group.

Recognizing the need for a dedicated business intelligence platform in the fitness and wellness sector, Hertzman launched Athletech News to provide in-depth reporting, proprietary content, research, and industry analysis. Today, the platform reaches more than 100,000 subscribers and continues expanding into live events and executive forums.",,Speaker,
01KSG8KMNJN8R6XDK8A,https://brokenscience.org/wp-content/uploads/2026/02/speaker-arianna-masotti-3-web-e1772302802790.png,"Arianna Masotti, PSYD","Clinical Psychologist and Founder, The Bloome Method

","Arianna Masotti is an award-winning clinical psychologist, wellness coach, and public speaker. She is the founder of the Bloome Method, also known as Post-Workout Therapy (PWT), which blends psychodynamic psychology, neuroscience, and performance coaching to help high achievers strengthen self-esteem, body image, relationships, and career alignment.

Dr. Masotti created the method after noticing that clients who came to therapy right after a workout showed more openness, flexibility, and emotional access. After more than 10,000 post-workout therapy sessions, she turned that insight into a structured approach that uses the “prime state” after training to support resilience and growth. She also founded the Bloome Clinic, a multidisciplinary practice combining therapists, coaches, and trainers. Originally launched in London, Bloome is expanding to New York and Los Angeles as she works to train the next generation of performance-focused wellness coaches.",,Speaker,
